course_id,published_timestamp
377370,2017-05-02T20:53:24Z
1175694,2017-04-26T18:17:51Z
945750,2016-08-31T22:03:44Z
1085580,2017-01-26T22:55:27Z
1188410,2017-04-24T21:59:45Z
402836,2015-01-27T09:27:49Z
588764,2015-09-29T19:15:24Z
576946,2015-08-21T20:33:25Z
543242,2015-07-16T22:03:29Z
502240,2015-06-19T21:22:17Z
598266,2015-10-08T20:23:36Z
814068,2016-04-28T18:04:46Z
1076920,2017-01-23T17:04:49Z
1103272,2017-02-07T00:45:51Z
441112,2015-03-08T21:13:13Z
1022108,2017-01-11T16:17:20Z
1028030,2016-12-07T20:19:37Z
1018380,2016-12-18T16:13:47Z
575676,2015-08-09T18:34:30Z
1105216,2017-02-10T00:51:57Z
936328,2016-09-07T20:33:30Z
43441,2013-02-25T21:38:29Z
1103718,2017-02-10T22:40:57Z
584410,2015-11-13T18:10:25Z
625568,2015-10-09T21:27:49Z
297742,2014-10-01T18:49:29Z
24877,2012-10-03T03:20:10Z
1188742,2017-05-01T21:18:54Z
597716,2016-02-24T17:30:41Z
415802,2015-02-07T15:06:57Z
323950,2014-11-08T02:21:54Z
488818,2015-05-11T23:16:54Z
610890,2015-09-30T18:57:45Z
638980,2015-10-19T23:01:15Z
599684,2015-10-29T00:34:09Z
332848,2014-11-04T01:37:23Z
354324,2014-12-09T08:31:40Z
379682,2014-12-29T09:00:17Z
319020,2014-12-11T20:35:05Z
713258,2016-11-06T22:33:44Z
537884,2015-07-17T22:10:39Z
919906,2016-08-18T21:57:04Z
46010,2013-04-04T21:36:10Z
777932,2016-03-06T21:33:58Z
773934,2016-03-23T21:13:52Z
221306,2014-05-20T18:13:38Z
830994,2016-05-24T15:43:06Z
723510,2016-01-15T18:10:47Z
42643,2013-03-02T13:27:41Z
411778,2015-03-03T01:22:39Z
366514,2015-02-19T20:40:23Z
471588,2015-06-19T22:49:13Z
390096,2015-02-11T06:52:30Z
607876,2015-09-22T00:05:53Z
249950,2014-06-26T02:00:55Z
792216,2016-03-18T20:46:05Z
45139,2013-03-08T11:42:48Z
692176,2016-02-23T21:05:46Z
1224262,2017-05-24T14:16:09Z
598094,2015-09-23T22:16:35Z
40039,2013-02-07T19:50:45Z
1266148,2017-06-28T20:37:13Z
791422,2017-02-03T04:34:07Z
352150,2014-12-23T15:28:09Z
791436,2017-05-11T22:19:28Z
537878,2015-07-07T20:35:21Z
923184,2016-08-10T13:10:13Z
476256,2015-09-07T20:21:39Z
552504,2015-08-16T22:14:02Z
537888,2015-09-29T17:27:02Z
385686,2015-01-06T13:05:53Z
738900,2016-03-30T04:56:57Z
57415,2013-06-06T21:50:57Z
155344,2014-01-31T20:40:36Z
42491,2013-03-05T11:31:37Z
511952,2015-06-11T19:09:17Z
530246,2015-07-20T23:48:08Z
862786,2016-05-30T18:00:22Z
165122,2014-02-17T09:22:13Z
530768,2015-09-22T19:48:31Z
218416,2015-02-21T00:36:13Z
619296,2015-09-29T20:12:53Z
717278,2016-05-04T00:01:47Z
445916,2015-03-19T16:57:50Z
267984,2014-07-24T15:20:39Z
180362,2014-03-12T13:40:53Z
364810,2014-12-10T21:45:30Z
692722,2016-01-27T17:38:23Z
298558,2014-10-01T18:51:06Z
480752,2015-06-16T21:35:07Z
637922,2015-10-14T17:50:29Z
337320,2014-12-22T13:39:16Z
876646,2016-06-21T22:46:41Z
529424,2015-07-07T18:59:39Z
720814,2016-01-08T21:40:03Z
515326,2015-06-01T20:09:03Z
1218552,2017-05-18T16:48:46Z
851106,2016-05-17T00:43:59Z
429308,2015-03-02T23:49:35Z
302450,2015-03-08T19:11:24Z
1117834,2017-04-06T04:59:32Z
190816,2014-03-29T14:10:31Z
244000,2014-06-16T11:02:39Z
429482,2015-02-23T04:37:14Z
831940,2017-02-06T16:35:44Z
833770,2017-05-01T23:22:07Z
658764,2015-11-03T18:54:45Z
707224,2017-02-03T16:23:16Z
64739,2013-07-23T20:18:35Z
907716,2016-09-06T15:03:27Z
1030976,2017-01-11T02:52:19Z
722682,2016-01-12T20:03:45Z
1122146,2017-02-22T21:36:08Z
808506,2016-05-18T16:04:14Z
673016,2015-11-23T20:42:22Z
358062,2014-12-03T21:41:25Z
372234,2015-04-02T17:51:17Z
822514,2016-04-15T18:43:40Z
1045726,2016-12-20T14:36:59Z
943426,2016-10-17T21:16:49Z
46927,2013-03-22T17:42:18Z
567070,2015-09-16T18:57:23Z
867440,2016-06-06T00:06:37Z
501996,2015-05-28T18:12:44Z
1103590,2017-02-07T15:34:03Z
1172370,2017-05-10T15:10:34Z
673702,2015-11-19T18:20:45Z
821108,2016-04-23T22:57:42Z
863998,2016-06-21T17:59:58Z
822926,2016-08-29T16:36:38Z
666254,2015-11-28T06:25:44Z
421546,2015-02-15T12:17:56Z
518886,2015-06-07T19:32:46Z
868128,2016-06-29T20:21:24Z
986034,2016-11-01T19:30:11Z
42642,2013-02-24T13:23:14Z
471428,2015-04-13T17:52:57Z
600206,2015-09-05T05:15:07Z
283780,2014-09-14T21:13:26Z
874284,2016-06-20T21:02:36Z
42640,2013-02-24T04:47:36Z
767256,2016-03-04T15:33:46Z
843854,2016-05-11T16:40:05Z
247558,2014-06-28T05:52:41Z
696616,2016-03-31T18:22:30Z
205810,2014-04-27T06:58:27Z
507486,2015-07-16T22:29:32Z
965306,2016-10-05T15:39:55Z
1128662,2017-03-06T21:26:55Z
1068986,2017-01-23T18:23:58Z
627706,2015-11-24T23:55:22Z
255280,2014-08-18T21:09:54Z
628944,2015-11-06T19:01:58Z
537886,2015-07-21T19:24:17Z
517938,2015-06-23T22:37:31Z
779678,2016-03-03T22:25:41Z
494330,2015-07-14T00:00:48Z
153926,2014-03-16T14:36:01Z
806122,2016-09-25T20:37:51Z
725658,2016-01-13T03:15:11Z
1032234,2016-12-16T15:01:34Z
996542,2016-10-29T19:15:04Z
756520,2016-02-11T16:23:46Z
768028,2016-03-15T17:23:07Z
73030,2013-08-05T16:02:15Z
476880,2015-06-01T20:58:11Z
773060,2016-02-29T18:44:03Z
552058,2015-07-21T21:45:17Z
509512,2015-05-25T18:19:21Z
497236,2015-07-12T19:05:43Z
471556,2015-04-12T16:28:31Z
403602,2015-01-25T18:41:28Z
326948,2014-10-25T13:00:19Z
537896,2015-07-07T20:21:29Z
797762,2016-03-20T21:39:38Z
674350,2016-02-02T20:35:37Z
439362,2015-04-17T21:59:15Z
42634,2013-02-27T13:05:27Z
494800,2015-05-06T23:27:45Z
1222836,2017-05-25T17:00:12Z
990440,2016-10-29T14:51:53Z
109988,2013-12-19T21:19:37Z
815482,2016-04-12T00:40:03Z
569436,2015-08-20T20:24:00Z
803664,2016-06-14T17:10:19Z
213154,2014-05-08T23:09:32Z
484132,2015-07-19T19:43:52Z
640062,2015-10-26T23:22:09Z
363404,2015-02-07T07:04:07Z
454724,2015-03-24T19:07:08Z
702278,2016-04-25T16:25:53Z
323196,2014-10-28T20:48:49Z
1225686,2017-05-23T22:23:38Z
443584,2015-04-06T17:34:49Z
1034074,2016-12-20T16:08:26Z
1209694,2017-05-28T14:35:47Z
418732,2015-03-06T01:11:18Z
757450,2016-02-10T04:57:32Z
403468,2015-01-26T20:09:29Z
761808,2016-02-21T22:40:55Z
